=================================================================
  Pythagorean Quadruples + Magic Square Solver (v3, exhaustive)
  d_max=10000,  min_triples=1
=================================================================

Distinct d values : 9963
Total triples     : 5595355

Running exhaustive search...
-----------------------------------------------------------------
  [129/9963] d=148  (4 triples)... score=3/8
  [130/9963] d=149  (18 triples)... score=6/8
  [131/9963] d=150  (14 triples)... score=5/8
  [132/9963] d=151  (19 triples)... score=6/8
  [133/9963] d=152  (2 triples)... score=2/8
  [134/9963] d=153  (32 triples)... score=6/8
  [135/9963] d=154  (14 triples)... score=4/8
  [136/9963] d=155  (20 triples)... score=6/8
  [137/9963] d=156  (7 triples)... score=4/8
  [138/9963] d=157  (19 triples)... score=5/8
  [139/9963] d=158  (10 triples)... score=6/8
  [140/9963] d=159  (32 triples)... score=6/8
  [141/9963] d=161  (28 triples)... score=6/8
  [142/9963] d=162  (18 triples)... score=6/8
  [143/9963] d=163  (20 triples)... score=6/8
  [144/9963] d=164  (4 triples)... score=4/8
  [145/9963] d=165  (38 triples)... score=6/8
  [146/9963] d=166  (10 triples)... score=4/8
  [147/9963] d=167  (21 triples)... score=6/8
  [148/9963] d=168  (5 triples)... score=4/8
  [149/9963] d=169  (20 triples)... score=6/8
  [150/9963] d=170  (8 triples)... score=4/8
  [151/9963] d=171  (41 triples)... score=6/8
  [152/9963] d=172  (5 triples)... score=4/8
  [153/9963] d=173  (21 triples)... score=6/8
  [154/9963] d=174  (17 triples)... score=5/8
  [155/9963] d=175  (27 triples)... score=6/8
  [156/9963] d=176  (1 triples)... score=1/8
  [157/9963] d=177  (36 triples)... score=6/8
  [158/9963] d=178  (10 triples)... score=4/8
  [159/9963] d=179  (22 triples)... score=6/8
  [160/9963] d=180  (9 triples)... score=4/8
  [161/9963] d=181  (22 triples)... score=6/8
  [162/9963] d=182  (14 triples)... score=6/8
  [163/9963] d=183  (37 triples)... score=6/8
  [164/9963] d=184  (3 triples)... score=3/8
  [165/9963] d=185  (21 triples)... score=6/8
  [166/9963] d=186  (20 triples)... score=6/8
  [167/9963] d=187  (25 triples)... score=6/8
  [168/9963] d=188  (6 triples)... score=5/8
  [169/9963] d=189  (58 triples)... score=6/8
  [170/9963] d=190  (12 triples)... score=6/8
  [171/9963] d=191  (24 triples)... score=6/8
  [172/9963] d=193  (23 triples)... score=6/8
  [173/9963] d=194  (11 triples)... score=4/8
  [174/9963] d=195  (38 triples)... score=6/8
  [175/9963] d=196  (8 triples)... score=4/8
  [176/9963] d=197  (24 triples)... score=6/8
  [177/9963] d=198  (24 triples)... score=6/8
  [178/9963] d=199  (25 triples)... score=6/8
  [179/9963] d=200  (2 triples)... score=2/8
  [180/9963] d=201  (41 triples)... score=6/8
  [181/9963] d=202  (12 triples)... score=4/8
  [182/9963] d=203  (32 triples)... score=6/8
  [183/9963] d=204  (8 triples)... score=4/8
  [184/9963] d=205  (23 triples)... score=6/8
  [185/9963] d=206  (13 triples)... score=5/8
  [186/9963] d=207  (52 triples)... score=6/8
  [187/9963] d=208  (1 triples)... score=1/8
  [188/9963] d=209  (32 triples)... score=6/8
  [189/9963] d=210  (27 triples)... score=6/8
  [190/9963] d=211  (26 triples)... score=6/8
  [191/9963] d=212  (6 triples)... score=4/8
  [192/9963] d=213  (45 triples)... score=6/8
  [193/9963] d=214  (13 triples)... score=6/8
  [194/9963] d=215  (27 triples)... score=6/8
  [195/9963] d=216  (5 triples)... score=4/8
  [196/9963] d=217  (37 triples)... score=6/8
  [197/9963] d=218  (13 triples)... score=6/8
  [198/9963] d=219  (43 triples)... score=6/8
  [199/9963] d=220  (7 triples)... score=4/8
  [200/9963] d=221  (25 triples)... score=6/8
  [201/9963] d=222  (22 triples)... score=6/8
  [202/9963] d=223  (28 triples)... score=6/8
  [203/9963] d=224  (1 triples)... score=1/8
  [204/9963] d=225  (51 triples)... score=6/8
  [205/9963] d=226  (13 triples)... score=6/8
  [206/9963] d=227  (28 triples)... score=6/8
  [207/9963] d=228  (11 triples)... score=6/8
  [208/9963] d=229  (28 triples)... score=6/8
  [209/9963] d=230  (15 triples)... score=5/8
  [210/9963] d=231  (71 triples)... score=6/8
  [211/9963] d=232  (3 triples)... score=3/8
  [212/9963] d=233  (28 triples)... score=6/8
  [213/9963] d=234  (26 triples)... score=6/8
  [214/9963] d=235  (30 triples)... score=6/8
  [215/9963] d=236  (7 triples)... score=4/8
  [216/9963] d=237  (50 triples)... score=6/8
  [217/9963] d=238  (18 triples)... score=6/8
  [218/9963] d=239  (30 triples)... score=6/8
  [219/9963] d=240  (2 triples)... score=2/8
  [220/9963] d=241  (29 triples)... score=6/8
  [221/9963] d=242  (17 triples)... score=6/8
  [222/9963] d=243  (58 triples)... score=6/8
  [223/9963] d=244  (7 triples)... score=4/8
  [224/9963] d=245  (40 triples)... score=6/8
  [225/9963] d=246  (23 triples)... score=6/8
  [226/9963] d=247  (33 triples)... score=6/8
  [227/9963] d=248  (4 triples)... score=4/8
  [228/9963] d=249  (51 triples)... score=6/8
  [229/9963] d=250  (14 triples)... score=5/8
  [230/9963] d=251  (31 triples)... score=6/8
  [231/9963] d=252  (18 triples)... score=6/8
  [232/9963] d=253  (40 triples)... score=6/8
  [233/9963] d=254  (16 triples)... score=6/8
  [234/9963] d=255  (49 triples)... score=6/8
  [235/9963] d=257  (31 triples)... score=6/8
  [236/9963] d=258  (26 triples)... score=6/8
  [237/9963] d=259  (41 triples)... score=6/8
  [238/9963] d=260  (6 triples)... score=4/8
  [239/9963] d=261  (60 triples)... score=6/8
  [240/9963] d=262  (16 triples)... score=6/8
  [241/9963] d=263  (33 triples)... score=6/8
  [242/9963] d=264  (6 triples)... score=3/8
  [243/9963] d=265  (31 triples)... score=6/8
  [244/9963] d=266  (23 triples)... score=6/8
  [245/9963] d=267  (53 triples)... score=6/8
  [246/9963] d=268  (8 triples)... score=4/8
  [247/9963] d=269  (33 triples)... score=6/8
  [248/9963] d=270  (31 triples)... score=6/8
  [249/9963] d=271  (34 triples)... score=6/8
  [250/9963] d=272  (1 triples)... score=1/8
  [251/9963] d=273  (72 triples)... score=6/8
  [252/9963] d=274  (16 triples)... score=6/8
  [253/9963] d=275  (39 triples)... score=6/8
  [254/9963] d=276  (15 triples)... score=5/8
  [255/9963] d=277  (34 triples)... score=6/8
  [256/9963] d=278  (17 triples)... score=6/8
  [257/9963] d=279  (69 triples)... score=6/8
  [258/9963] d=280  (5 triples)... score=4/8
  [259/9963] d=281  (34 triples)... score=6/8
  [260/9963] d=282  (30 triples)... score=6/8
  [261/9963] d=283  (35 triples)... score=6/8
  [262/9963] d=284  (9 triples)... score=6/8
  [263/9963] d=285  (63 triples)... score=6/8
  [264/9963] d=286  (20 triples)... score=6/8
  [265/9963] d=287  (45 triples)... score=6/8
  [266/9963] d=288  (1 triples)... score=1/8
  [267/9963] d=289  (34 triples)... score=6/8
  [268/9963] d=290  (16 triples)... score=5/8
  [269/9963] d=291  (58 triples)... score=6/8
  [270/9963] d=292  (8 triples)... score=4/8
  [271/9963] d=293  (36 triples)... score=6/8
  [272/9963] d=294  (40 triples)... score=7/8
  [273/9963] d=295  (37 triples)... score=6/8
  [274/9963] d=296  (4 triples)... score=3/8
  [275/9963] d=297  (81 triples)... score=6/8
  [276/9963] d=298  (18 triples)... score=6/8
  [277/9963] d=299  (40 triples)... score=6/8
  [278/9963] d=300  (14 triples)... score=5/8
  [279/9963] d=301  (50 triples)... score=6/8
  [280/9963] d=302  (19 triples)... score=6/8
  [281/9963] d=303  (62 triples)... score=6/8
  [282/9963] d=304  (2 triples)... score=2/8
  [283/9963] d=305  (36 triples)... score=6/8
  [284/9963] d=306  (32 triples)... score=6/8
  [285/9963] d=307  (38 triples)... score=6/8
  [286/9963] d=308  (14 triples)... score=4/8
  [287/9963] d=309  (65 triples)... score=6/8
  [288/9963] d=310  (20 triples)... score=6/8
  [289/9963] d=311  (39 triples)... score=6/8
  [290/9963] d=312  (7 triples)... score=4/8
  [291/9963] d=313  (38 triples)... score=6/8
  [292/9963] d=314  (19 triples)... score=5/8
  [293/9963] d=315  (94 triples)... score=6/8
  [294/9963] d=316  (10 triples)... score=6/8
  [295/9963] d=317  (39 triples)... score=6/8
  [296/9963] d=318  (32 triples)... score=6/8
  [297/9963] d=319  (46 triples)... score=6/8
  [298/9963] d=321  (66 triples)... score=6/8
  [299/9963] d=322  (28 triples)... score=6/8
  [300/9963] d=323  (42 triples)... score=6/8
  [301/9963] d=324  (18 triples)... score=6/8
  [302/9963] d=325  (37 triples)... score=6/8
  [303/9963] d=326  (20 triples)... score=6/8
  [304/9963] d=327  (67 triples)... score=6/8
  [305/9963] d=328  (4 triples)... score=4/8
  [306/9963] d=329  (55 triples)... score=6/8
  [307/9963] d=330  (38 triples)... score=6/8
  [308/9963] d=331  (41 triples)... score=6/8
  [309/9963] d=332  (10 triples)... score=4/8
  [310/9963] d=333  (77 triples)... score=6/8
  [311/9963] d=334  (21 triples)... score=6/8
  [312/9963] d=335  (42 triples)... score=6/8
  [313/9963] d=336  (5 triples)... score=4/8
  [314/9963] d=337  (41 triples)... score=6/8
  [315/9963] d=338  (20 triples)... score=6/8
  [316/9963] d=339  (68 triples)... score=6/8
  [317/9963] d=340  (8 triples)... score=4/8
  [318/9963] d=341  (53 triples)... score=6/8
  [319/9963] d=342  (41 triples)... score=6/8
  [320/9963] d=343  (57 triples)... score=6/8
  [321/9963] d=344  (5 triples)... score=4/8
  [322/9963] d=345  (77 triples)... score=6/8
  [323/9963] d=346  (21 triples)... score=6/8
  [324/9963] d=347  (43 triples)... score=6/8
  [325/9963] d=348  (17 triples)... score=5/8
  [326/9963] d=349  (43 triples)... score=6/8
  [327/9963] d=350  (27 triples)... score=6/8
  [328/9963] d=351  (84 triples)... score=6/8
  [329/9963] d=352  (1 triples)... score=1/8
  [330/9963] d=353  (43 triples)... score=6/8
  [331/9963] d=354  (36 triples)... score=6/8
  [332/9963] d=355  (45 triples)... score=6/8
  [333/9963] d=356  (10 triples)... score=4/8
  [334/9963] d=357  (93 triples)... score=6/8
  [335/9963] d=358  (22 triples)... score=6/8
  [336/9963] d=359  (45 triples)... score=6/8
  [337/9963] d=360  (9 triples)... score=4/8
  [338/9963] d=361  (49 triples)... score=6/8
  [339/9963] d=362  (22 triples)... score=6/8
  [340/9963] d=363  (87 triples)... score=6/8
  [341/9963] d=364  (14 triples)... score=6/8
  [342/9963] d=365  (43 triples)... score=6/8
  [343/9963] d=366  (37 triples)... score=6/8
  [344/9963] d=367  (46 triples)... score=6/8
  [345/9963] d=368  (3 triples)... score=3/8
  [346/9963] d=369  (83 triples)... score=6/8
  [347/9963] d=370  (21 triples)... score=6/8
  [348/9963] d=371  (59 triples)... score=6/8
  [349/9963] d=372  (20 triples)... score=6/8
  [350/9963] d=373  (46 triples)... score=6/8
  [351/9963] d=374  (25 triples)... score=6/8
  [352/9963] d=375  (76 triples)... score=6/8
  [353/9963] d=376  (6 triples)... score=5/8
  [354/9963] d=377  (45 triples)... score=6/8
  [355/9963] d=378  (58 triples)... score=6/8
  [356/9963] d=379  (47 triples)... score=6/8
  [357/9963] d=380  (12 triples)... score=6/8
